execution_order,graph_id,code_length,target_order_within_instance,target_r,run_count,success,best_run_order,best_initialisation_class,best_initialisation_id,best_restart_index,best_seed,best_violation_count,best_total_excess,best_maximum_excess,best_maximum_distance_edge_count,best_total_local_hamming,first_success_proposal,negative_result_interpretation
6,icosphere_l3,11,3,4,4,True,3,deterministic_random,deterministic_random_seed_7538166674351069576,0,1450766192576483703,0,0,0,349,4838,235594,
7,icosphere_l3,12,1,2,4,False,2,stage3_baseline,canonical_index_binary,1,9576519443198766728,778,1964,7,3,5577,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
7,icosphere_l3,12,2,3,4,False,4,deterministic_random,deterministic_random_seed_17518219472820890700,1,13419077011165143771,278,409,7,1,5224,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
7,icosphere_l3,12,3,4,4,False,4,deterministic_random,deterministic_random_seed_2040171413151263678,1,2471439328464931415,16,17,2,1,5589,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
7,icosphere_l3,12,4,5,4,True,1,stage3_baseline,canonical_index_binary,0,17963088821241110107,0,0,0,226,5845,194554,
8,icosphere_l3,14,1,2,4,False,2,stage3_baseline,canonical_index_binary,1,11140243380226882396,1082,3528,9,4,7239,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
8,icosphere_l3,14,2,3,4,False,1,stage3_baseline,canonical_index_binary,0,7951060686255360025,528,1002,6,9,5991,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
8,icosphere_l3,14,3,4,4,False,2,stage3_baseline,canonical_index_binary,1,9055001473934911130,93,140,4,3,6213,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
8,icosphere_l3,14,4,5,4,False,2,stage3_baseline,canonical_index_binary,1,5109494565358466984,5,5,1,5,6570,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
8,icosphere_l3,14,5,6,4,True,3,deterministic_random,deterministic_random_seed_5909152920304687489,0,18064407606225927699,0,0,0,196,7146,222234,
9,primitive_q2_knn4,7,1,2,6,False,2,stage4_witness,m7_r3,1,5813026091766907953,3,3,1,3,419,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
10,primitive_q2_knn4,8,1,2,6,False,5,deterministic_random,deterministic_random_seed_2148888761567049158,0,12539797612221382977,3,3,1,3,444,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
12,primitive_q2_knn6,7,1,2,6,False,1,stage4_witness,m7_r3,0,2064250310157314924,12,13,2,1,592,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
13,primitive_q2_knn6,8,1,2,6,False,4,stage3_baseline,canonical_index_gray,1,5187913318752159300,14,17,2,3,594,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
14,primitive_q2_knn6,9,1,2,6,False,3,stage3_baseline,cartesian_coordinate_gray,0,13130130887767316231,13,14,2,1,544,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
15,primitive_q2_knn6,11,1,2,6,False,3,stage3_baseline,cartesian_coordinate_gray,0,7656731026587317339,25,29,2,4,566,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
16,primitive_q2_knn8,7,1,2,6,False,1,stage4_witness,m7_r4,0,7727575928216648302,49,55,2,6,818,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
16,primitive_q2_knn8,7,2,3,6,True,2,stage4_witness,m7_r4,1,11949717326772854829,0,0,0,80,808,84397,
17,primitive_q2_knn8,8,1,2,6,False,5,deterministic_random,deterministic_random_seed_13106741850042575675,0,2849947230996291138,52,62,2,10,819,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
17,primitive_q2_knn8,8,2,3,6,True,3,stage3_baseline,canonical_index_gray,0,10816498019002094067,0,0,0,92,819,85490,
18,primitive_q2_knn8,9,1,2,6,False,4,stage3_baseline,cartesian_coordinate_gray,1,1771338571576386244,15,17,2,2,717,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
19,primitive_q2_knn8,11,1,2,6,False,3,stage3_baseline,cartesian_coordinate_gray,0,6901384073474227305,28,28,1,28,728,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
20,primitive_q3_knn4,9,1,2,6,False,4,stage3_baseline,cartesian_coordinate_gray,1,4225636069170145280,36,37,2,1,1214,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
20,primitive_q3_knn4,9,2,3,6,True,2,stage4_witness,m9_r4,1,3950625958944175151,0,0,0,141,1347,181106,
21,primitive_q3_knn4,10,1,2,6,False,4,stage3_baseline,cartesian_coordinate_gray,1,17096883282561537165,46,52,2,6,1245,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
21,primitive_q3_knn4,10,2,3,6,True,3,stage3_baseline,cartesian_coordinate_gray,0,10255440776082657967,0,0,0,207,1457,218089,
22,primitive_q3_knn4,11,1,2,6,False,3,stage3_baseline,cartesian_coordinate_gray,0,4504916993055695005,76,107,4,1,1345,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
22,primitive_q3_knn4,11,2,3,6,False,4,stage3_baseline,cartesian_coordinate_gray,1,15749397227652832014,2,2,1,2,1512,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
23,primitive_q3_knn4,13,1,2,6,False,4,stage3_baseline,cartesian_coordinate_gray,1,6590500733663094259,157,272,5,1,1586,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
23,primitive_q3_knn4,13,2,3,6,False,4,stage3_baseline,cartesian_coordinate_gray,1,12722070488935677535,10,12,2,2,1619,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
24,primitive_q3_knn6,9,1,2,4,False,2,stage3_baseline,cartesian_coordinate_gray,1,7235207619010977988,117,126,2,9,1870,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
24,primitive_q3_knn6,9,2,3,4,True,1,stage3_baseline,cartesian_coordinate_gray,0,1207975676959538416,0,0,0,226,2062,189714,
25,primitive_q3_knn6,10,1,2,4,False,2,stage3_baseline,cartesian_coordinate_gray,1,70899020815184882,128,141,2,13,1910,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
25,primitive_q3_knn6,10,2,3,4,False,2,stage3_baseline,cartesian_coordinate_gray,1,6568553932492658824,4,4,1,4,2096,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
25,primitive_q3_knn6,10,3,4,4,True,3,deterministic_random,deterministic_random_seed_8099358332524753208,0,3438937664107585197,0,0,0,134,2582,153708,
26,primitive_q3_knn6,11,1,2,4,False,1,stage3_baseline,cartesian_coordinate_gray,0,5044936601212533974,151,175,2,24,1945,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
26,primitive_q3_knn6,11,2,3,4,False,1,stage3_baseline,cartesian_coordinate_gray,0,8170095008170407503,10,11,2,1,2194,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
26,primitive_q3_knn6,11,3,4,4,True,2,stage3_baseline,cartesian_coordinate_gray,1,11285572743491741244,0,0,0,109,2518,151838,
27,primitive_q3_knn6,13,1,2,4,False,1,stage3_baseline,cartesian_coordinate_gray,0,14819172263745640856,180,219,3,2,2004,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
27,primitive_q3_knn6,13,2,3,4,False,1,stage3_baseline,cartesian_coordinate_gray,0,7812308128088156468,23,25,2,2,2278,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
27,primitive_q3_knn6,13,3,4,4,False,2,stage3_baseline,cartesian_coordinate_gray,1,15843145141030797029,1,1,1,1,2792,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
28,primitive_q3_knn8,9,1,2,4,False,1,stage3_baseline,cartesian_coordinate_gray,0,15629633931618141296,201,230,3,1,2544,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
28,primitive_q3_knn8,9,2,3,4,False,1,stage3_baseline,cartesian_coordinate_gray,0,3670972320121107415,8,8,1,8,2708,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
28,primitive_q3_knn8,9,3,4,4,True,2,stage3_baseline,cartesian_coordinate_gray,1,12758445088019447366,0,0,0,98,3022,136801,
29,primitive_q3_knn8,10,1,2,4,False,1,stage3_baseline,cartesian_coordinate_gray,0,6760559701733194578,217,247,2,30,2556,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
29,primitive_q3_knn8,10,2,3,4,False,2,stage3_baseline,cartesian_coordinate_gray,1,5164444700324940703,16,16,1,16,2862,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
29,primitive_q3_knn8,10,3,4,4,True,1,stage3_baseline,cartesian_coordinate_gray,0,2341446864538010589,0,0,0,153,3237,148416,
30,primitive_q3_knn8,11,1,2,4,False,1,stage3_baseline,cartesian_coordinate_gray,0,9427370094034184007,252,312,3,4,2652,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
30,primitive_q3_knn8,11,2,3,4,False,1,stage3_baseline,cartesian_coordinate_gray,0,12635605143063933327,18,19,2,1,2884,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
30,primitive_q3_knn8,11,3,4,4,True,1,stage3_baseline,cartesian_coordinate_gray,0,1320327242663135792,0,0,0,181,3322,173612,
31,primitive_q3_knn8,13,1,2,4,False,1,stage3_baseline,cartesian_coordinate_gray,0,6385394395333917501,277,364,3,5,2733,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
31,primitive_q3_knn8,13,2,3,4,False,1,stage3_baseline,cartesian_coordinate_gray,0,10147409489218836303,53,57,2,4,3069,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
31,primitive_q3_knn8,13,3,4,4,True,1,stage3_baseline,cartesian_coordinate_gray,0,3750507003228550124,0,0,0,231,3452,245721,
32,primitive_q4_knn4,10,1,2,4,False,4,deterministic_random,deterministic_random_seed_17382684517531281178,1,16774302857275410330,257,452,6,1,3012,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
32,primitive_q4_knn4,10,2,3,4,False,1,stage3_baseline,canonical_index_gray,0,17299510532182077508,11,11,1,11,3007,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
32,primitive_q4_knn4,10,3,4,4,True,2,stage3_baseline,canonical_index_gray,1,4123099179090206714,0,0,0,161,3255,214086,
33,primitive_q4_knn4,11,1,2,4,False,4,deterministic_random,deterministic_random_seed_10651744603708018090,1,581971554306375646,369,799,7,1,3411,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
33,primitive_q4_knn4,11,2,3,4,False,2,stage3_baseline,canonical_index_gray,1,3895332054604751634,50,55,2,5,3273,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
33,primitive_q4_knn4,11,3,4,4,True,3,deterministic_random,deterministic_random_seed_14953127399911524544,0,17518311150858656150,0,0,0,209,3436,242994,
34,primitive_q4_knn4,12,1,2,4,False,2,stage3_baseline,cartesian_coordinate_gray,1,10371568433940555066,340,679,7,1,3141,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
34,primitive_q4_knn4,12,2,3,4,False,2,stage3_baseline,cartesian_coordinate_gray,1,11326175415015155148,45,59,3,2,3148,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
34,primitive_q4_knn4,12,3,4,4,False,2,stage3_baseline,cartesian_coordinate_gray,1,2346779099444061919,1,1,1,1,3655,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
34,primitive_q4_knn4,12,4,5,4,True,1,stage3_baseline,cartesian_coordinate_gray,0,13266739939798030514,0,0,0,156,4263,203592,
35,primitive_q4_knn4,14,1,2,4,False,1,stage3_baseline,cartesian_coordinate_gray,0,7718661830003584459,501,1228,8,2,3756,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
35,primitive_q4_knn4,14,2,3,4,False,1,stage3_baseline,cartesian_coordinate_gray,0,7411550045731950079,104,142,4,2,3349,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
35,primitive_q4_knn4,14,3,4,4,False,2,stage3_baseline,cartesian_coordinate_gray,1,16603798695883482919,23,26,2,3,4168,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
35,primitive_q4_knn4,14,4,5,4,True,2,stage3_baseline,cartesian_coordinate_gray,1,10743806049172217165,0,0,0,208,4555,289911,
36,primitive_q4_knn6,10,1,2,4,False,2,stage3_baseline,canonical_index_gray,1,9565934806028754600,545,1028,6,3,4994,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
36,primitive_q4_knn6,10,2,3,4,False,2,stage3_baseline,canonical_index_gray,1,11563638553155338977,53,58,2,5,4715,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
36,primitive_q4_knn6,10,3,4,4,True,4,deterministic_random,deterministic_random_seed_18422140827008298149,1,9819303607930754823,0,0,0,258,5081,204365,
37,primitive_q4_knn6,11,1,2,4,False,2,stage3_baseline,canonical_index_gray,1,3830778028723984290,711,1445,6,3,5513,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
37,primitive_q4_knn6,11,2,3,4,False,1,stage3_baseline,canonical_index_gray,0,17482445923622556173,158,188,3,2,5217,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
37,primitive_q4_knn6,11,3,4,4,False,4,deterministic_random,deterministic_random_seed_702456872859745129,1,10966059205705648170,1,1,1,1,5397,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
37,primitive_q4_knn6,11,4,5,4,True,2,stage3_baseline,canonical_index_gray,1,10502303622680314591,0,0,0,151,6043,186307,
38,primitive_q4_knn6,12,1,2,4,False,2,stage3_baseline,cartesian_coordinate_gray,1,11549114083335185659,507,678,5,1,4361,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
38,primitive_q4_knn6,12,2,3,4,False,1,stage3_baseline,cartesian_coordinate_gray,0,9049105844148412779,74,80,3,1,4686,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
38,primitive_q4_knn6,12,3,4,4,False,1,stage3_baseline,cartesian_coordinate_gray,0,15823288386963839559,3,3,1,3,5456,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
38,primitive_q4_knn6,12,4,5,4,True,2,stage3_baseline,cartesian_coordinate_gray,1,12376455572892669532,0,0,0,144,6015,214300,
39,primitive_q4_knn6,14,1,2,4,False,2,stage3_baseline,cartesian_coordinate_gray,1,9031511131734006233,624,936,5,1,4690,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
39,primitive_q4_knn6,14,2,3,4,False,1,stage3_baseline,cartesian_coordinate_gray,0,2780302833641936134,121,140,4,2,4792,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
39,primitive_q4_knn6,14,3,4,4,False,2,stage3_baseline,cartesian_coordinate_gray,1,6186035531559705608,11,11,1,11,5524,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
39,primitive_q4_knn6,14,4,5,4,True,1,stage3_baseline,cartesian_coordinate_gray,0,8799604673934349969,0,0,0,326,6954,245887,
40,primitive_q4_knn8,10,1,2,4,False,2,stage3_baseline,canonical_index_gray,1,530946146583216510,773,1292,6,1,6277,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
40,primitive_q4_knn8,10,2,3,4,False,4,deterministic_random,deterministic_random_seed_1646273269834508108,1,8792903200744923203,121,131,3,1,6158,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
40,primitive_q4_knn8,10,3,4,4,True,2,stage3_baseline,canonical_index_gray,1,14996302159918951517,0,0,0,340,6305,239901,
41,primitive_q4_knn8,11,1,2,4,False,2,stage3_baseline,canonical_index_gray,1,9632067041694177374,992,1912,6,4,6996,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
41,primitive_q4_knn8,11,2,3,4,False,2,stage3_baseline,canonical_index_gray,1,8394502383740468252,273,342,4,3,6716,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
41,primitive_q4_knn8,11,3,4,4,False,3,deterministic_random,deterministic_random_seed_16739090521491162664,0,1573750392445303112,3,3,1,3,7082,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
41,primitive_q4_knn8,11,4,5,4,True,1,stage3_baseline,canonical_index_gray,0,3578209885683592216,0,0,0,159,7551,191512,
42,primitive_q4_knn8,12,1,2,4,False,1,stage3_baseline,cartesian_coordinate_gray,0,6793416767039593700,697,936,4,3,5552,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
42,primitive_q4_knn8,12,2,3,4,False,1,stage3_baseline,cartesian_coordinate_gray,0,10339285704439609285,152,174,3,2,5987,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
42,primitive_q4_knn8,12,3,4,4,False,1,stage3_baseline,cartesian_coordinate_gray,0,369333073837351919,5,5,1,5,6715,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
42,primitive_q4_knn8,12,4,5,4,True,2,stage3_baseline,cartesian_coordinate_gray,1,9509181904947562137,0,0,0,210,7783,232362,
43,primitive_q4_knn8,14,1,2,4,False,2,stage3_baseline,cartesian_coordinate_gray,1,7985562728915252605,809,1214,4,19,5894,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
43,primitive_q4_knn8,14,2,3,4,False,1,stage3_baseline,cartesian_coordinate_gray,0,16249216074293228775,189,214,3,1,6200,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
43,primitive_q4_knn8,14,3,4,4,False,2,stage3_baseline,cartesian_coordinate_gray,1,1960230956714597373,19,19,1,19,6989,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
43,primitive_q4_knn8,14,4,5,4,True,2,stage3_baseline,cartesian_coordinate_gray,1,5207447643521820254,0,0,0,310,8369,278473,
